condensor_pressure(atm),reboiler(pot)_heat_duty(Watt),reflux_ratio,input_mass_fraction_of_acetic_acid,pot_pressure(atm),daily_work(min),produced_acetic_acid_mass_fraction,reboiler(pot)_temperature(C),condensor_temperature(C),upper_product_flow_rate(kg/hr),condensor_mass_flow_outlet_rate,fraction_over_pressure,duty_over_frac_multiplyed_by_pressure,reboiler_temp_on_flowrate,condensor_temp_on_flowrate,upper_product_precent,aceticindutyoverflow,refluxin_pot_devidedby_cond_temp,daily_work_multip_duty,order,order,atmosphere_pressure(kpa)
0.2,466.7,6.4,0.99,0.298692327,345.259,0.999993,83.21161352,72.4415032,0.577613213,4.274337776,4.999965,2333.516335,144.0611323,125.415246,99.9993,807.974476,8.522582223,161132.3753,5.2,5,20.265
0.2,466.7,6.6,0.99,0.298692327,353.872,0.999995,83.2117558,72.4415032,0.562296067,4.273450113,4.999975,2333.511668,147.985662,128.8316021,99.9995,829.985649,8.567653844,165152.0624,5.3,5,20.265
0.2,466.7,6.8,0.99,0.298692327,362.475,0.999995,83.21177217,72.44146995,0.547242753,4.268493475,4.999975,2333.511668,152.0564168,132.3753847,99.9995,852.8165312,8.611086739,169167.0825,5.3,5,20.265
0.2,466.7,7,0.99,0.298692327,371.084,0.999997,83.21202789,72.44145588,0.533570448,4.268563586,4.999985,2333.507001,155.953217,135.7673689,99.9997,874.6710044,8.653163289,173184.9028,5.5,6,20.265
0.2,466.7,7.2,0.99,0.298692327,379.68,0.999997,83.21191788,72.44144298,0.520783107,4.270421476,4.999985,2333.507001,159.7822909,139.1009847,99.9997,896.1477317,8.693899275,177196.656,5.5,6,20.265
0.2,466.7,7.4,0.99,0.298692327,388.267,0.999998,83.21215741,72.44143141,0.50801504,4.267326335,4.99999,2333.504667,163.79861,142.5970212,99.9998,918.6717517,8.733441175,181204.2089,5.7,6,20.265
0.2,466.7,7.6,0.99,0.298692327,396.895,0.999999,83.21156881,72.44142061,0.49576014,4.263537206,4.999995,2333.502334,167.8464282,146.1219141,99.9999,941.3817195,8.771621246,185230.8965,6,6,20.265
0.2,466.7,7.8,0.99,0.298692327,405.457,0.999999,83.21226836,72.44141108,0.484785885,4.266115787,4.999995,2333.502334,171.6474653,149.4297036,99.9999,962.6920829,8.809085101,189226.7819,6,6,20.265
0.2,466.7,8,0.99,0.298692327,414.04,0.999999,83.21182488,72.44140198,0.474127137,4.267144233,4.999995,2333.502334,175.5052989,152.7889807,99.9999,984.334152,8.845285214,193232.468,6,6,20.265
0.2,466.7,8.2,0.99,0.298692327,422.626,0.999999,83.21223596,72.44139393,0.463420565,4.2634692,4.999995,2333.502334,179.5609479,156.318902,99.9999,1007.075577,8.880570082,197239.5542,6,6,20.265
